,location,date,avg_temp,min_temp,max_temp,rainfall,max_wind_speed,avg_wind
318,동두천,2014-11-15,2.4,-3.7,10.4,0.0,3.7,1.2
319,동두천,2014-11-16,4.9,-1.1,13.0,0.9,4.0,1.1
320,동두천,2014-11-17,4.8,1.4,11.0,0.0,5.0,1.2
321,동두천,2014-11-18,2.7,-2.6,10.7,0.0,3.8,1.0
322,동두천,2014-11-19,3.0,-4.0,12.6,0.0,3.2,1.0
323,동두천,2014-11-20,5.8,-0.7,14.2,0.0,3.5,1.0
324,동두천,2014-11-21,10.7,4.1,17.2,0.0,4.1,1.8
325,동두천,2014-11-22,10.1,5.9,12.7,7.8,3.9,1.4
326,동두천,2014-11-23,6.8,4.3,11.8,0.0,2.9,1.1
327,동두천,2014-11-24,7.3,4.2,11.4,0.0,2.9,1.2
328,동두천,2014-11-25,8.9,3.5,16.2,0.0,4.5,1.6
329,동두천,2014-11-26,9.3,5.0,16.6,0.0,3.1,1.2
330,동두천,2014-11-27,7.8,3.0,16.0,0.0,2.9,0.9
331,동두천,2014-11-28,6.8,4.5,9.4,19.2,4.3,1.6
332,동두천,2014-11-29,5.8,2.4,9.8,0.0,2.9,1.1
333,동두천,2014-11-30,7.4,4.7,11.2,7.5,4.4,1.2
334,동두천,2014-12-01,-1.8,-8.1,7.0,0.2,11.7,5.7
335,동두천,2014-12-02,-6.3,-9.6,-0.9,0.0,8.3,3.4
336,동두천,2014-12-03,-3.8,-7.8,1.6,0.0,5.0,2.0
337,동두천,2014-12-04,-5.3,-9.9,0.1,0.0,7.1,2.4
338,동두천,2014-12-05,-7.4,-11.4,-1.4,0.0,5.3,2.7
339,동두천,2014-12-06,-6.8,-11.9,0.2,0.0,6.4,2.0
340,동두천,2014-12-07,-5.0,-10.3,-0.6,0.0,2.7,0.9
341,동두천,2014-12-08,-2.9,-7.8,4.0,0.0,4.9,1.7
342,동두천,2014-12-09,-4.5,-10.7,3.5,0.0,2.7,1.1
343,동두천,2014-12-10,-1.3,-6.2,3.2,1.1,2.1,0.9
344,동두천,2014-12-11,-2.2,-6.9,1.7,0.4,6.5,2.7
345,동두천,2014-12-12,-5.2,-9.8,1.4,0.3,3.7,1.1
346,동두천,2014-12-13,-5.8,-9.6,-0.9,0.0,6.8,2.8
347,동두천,2014-12-14,-5.3,-12.2,-0.4,0.0,2.6,0.9
348,동두천,2014-12-15,-0.9,-5.3,2.9,6.9,5.0,1.3
349,동두천,2014-12-16,-5.8,-10.7,1.2,0.0,7.4,3.0
350,동두천,2014-12-17,-9.9,-12.1,-5.1,0.0,9.5,4.7
351,동두천,2014-12-18,-10.0,-15.6,-3.0,0.0,4.3,1.3
352,동두천,2014-12-19,-4.6,-12.3,0.3,2.0,4.2,1.2
353,동두천,2014-12-20,-2.4,-8.4,1.5,2.5,6.3,3.4
354,동두천,2014-12-21,-8.1,-12.9,-1.6,0.0,4.3,1.5
355,동두천,2014-12-22,-6.8,-13.6,0.5,0.0,5.6,1.2
356,동두천,2014-12-23,-2.9,-10.8,4.1,0.0,2.6,0.8
357,동두천,2014-12-24,1.2,-3.3,6.7,0.2,5.9,2.3
358,동두천,2014-12-25,-3.4,-8.2,2.4,0.0,6.1,1.8
359,동두천,2014-12-26,-5.4,-10.5,1.1,0.0,3.1,1.1
360,동두천,2014-12-27,-4.2,-10.3,3.6,0.0,2.5,1.2
361,동두천,2014-12-28,-1.9,-7.0,2.4,0.0,3.2,1.0
