No,Column1,location,stdt,eddt,damagearea,경도,위도,상태
257,256,경기용인,2021-02-12,2021-02-12,0.02,127.2400364,37.22209372,인근좌표
258,257,경기화성,2020-03-22,2020-03-22,0.1,126.9162557,37.15266119,인근좌표
259,258,경기동두천,2020-03-22,2020-03-22,0.2,127.0669893,37.92058118,인근좌표
260,259,경기파주,2020-03-22,2020-03-22,0.3,126.8077119,37.84944357,인근좌표
261,260,경기이천,2020-03-22,2020-03-22,0.3,127.4520008,37.20146617,인근좌표
262,261,경기광주,2020-03-23,2020-03-23,0.06,127.2917767,37.4004581,인근좌표
263,262,경기양평,2020-03-23,2020-03-23,1,127.5810959,37.51899594,인근좌표
264,263,경기양평,2020-03-23,2020-03-23,0.01,127.5810959,37.51899594,인근좌표
265,264,경기용인,2020-03-23,2020-03-23,0.16,127.2400364,37.22209372,인근좌표
266,265,경기화성,2020-03-24,2020-03-24,0.05,126.9162557,37.15266119,인근좌표
267,266,경기포천,2020-03-24,2020-03-24,0.5,127.237579,37.96766787,인근좌표
268,267,경기화성,2020-03-24,2020-03-24,0.03,126.9162557,37.15266119,인근좌표
269,268,경기광주,2020-03-24,2020-03-24,0.01,127.2917767,37.4004581,인근좌표
270,269,경기수원,2020-03-24,2020-03-24,0.01,127.0029967,37.31811976,인근좌표
271,270,경기포천,2020-03-25,2020-03-25,0.5,127.237579,37.96766787,인근좌표
272,271,경기안성,2020-03-25,2020-03-25,0.1,127.3059003,37.02476089,인근좌표
273,272,경기여주,2020-03-25,2020-03-25,0.06,127.644285,37.28762711,인근좌표
274,273,경기여주,2020-03-25,2020-03-25,0.05,127.644285,37.28762711,인근좌표
275,274,경기남양주,2020-03-25,2020-03-25,0.02,127.2580035,37.64296989,인근좌표
276,275,경기포천,2020-03-25,2020-03-25,0.05,127.237579,37.96766787,인근좌표
277,276,경기남양주,2020-03-26,2020-03-26,0.33,127.2580035,37.64296989,인근좌표
278,277,경기광주,2020-03-26,2020-03-26,0.02,127.2917767,37.4004581,인근좌표
279,278,경기오산,2020-03-28,2020-03-28,0.01,127.051305,37.1630728,인근좌표
280,279,경기안양,2020-03-28,2020-03-28,0.08,126.9027706,37.40454384,인근좌표
281,280,경기고양,2020-03-29,2020-03-29,0.04,126.8993676,37.66019018,인근좌표
282,281,경기화성,2020-03-29,2020-03-29,0.1,126.9162557,37.15266119,인근좌표
283,282,경기파주,2020-03-29,2020-03-29,0.03,126.8077119,37.84944357,인근좌표
284,283,경기가평,2020-03-29,2020-03-29,0.28,127.4076594,37.8112458,인근좌표
285,284,경기가평,2020-03-29,2020-03-29,0.54,127.4076594,37.8112458,인근좌표
286,285,경기양평,2020-03-30,2020-03-30,1,127.5810959,37.51899594,인근좌표
287,286,경기하남,2020-03-30,2020-03-30,0.05,127.2110935,37.5303375,인근좌표
288,287,경기고양,2020-03-30,2020-03-30,0.03,126.8993676,37.66019018,인근좌표
289,288,경기평택,2020-04-01,2020-04-01,3.75,127.0037131,37.02303199,인근좌표
290,289,경기가평,2020-04-01,2020-04-01,0.3,127.4076594,37.8112458,인근좌표
291,290,경기고양,2020-04-01,2020-04-01,1,126.8993676,37.66019018,인근좌표
292,291,경기파주,2020-04-01,2020-04-01,0.66,126.8077119,37.84944357,인근좌표
293,292,경기용인,2020-04-01,2020-04-01,0.17,127.2400364,37.22209372,인근좌표
294,293,경기파주,2020-04-02,2020-04-02,1.65,126.8077119,37.84944357,인근좌표
295,294,경기의왕,2020-04-02,2020-04-02,0.46,126.9891898,37.35795112,인근좌표
296,295,경기평택,2020-04-02,2020-04-03,0.01,127.0037131,37.02303199,인근좌표
297,296,경기가평,2020-04-03,2020-04-03,0.11,127.4076594,37.8112458,인근좌표
298,297,경기여주,2020-04-03,2020-04-03,0.03,127.644285,37.28762711,인근좌표
299,298,경기파주,2020-04-04,2020-04-04,0.06,126.8077119,37.84944357,인근좌표
300,299,경기의왕,2020-04-04,2020-04-04,1,126.9891898,37.35795112,인근좌표
301,300,경기남양주,2020-04-04,2020-04-04,6.2,127.2580035,37.64296989,인근좌표
302,301,경기시흥,2020-04-04,2020-04-04,0.05,126.8335661,37.39397721,인근좌표
303,302,경기양평,2020-04-05,2020-04-05,0.09,127.5810959,37.51899594,인근좌표
304,303,경기파주,2020-04-05,2020-04-05,0.2,126.8077119,37.84944357,인근좌표
305,304,경기화성,2020-04-05,2020-04-05,0.2,126.9162557,37.15266119,인근좌표
306,305,경기광주,2020-04-05,2020-04-05,2.7,127.2917767,37.4004581,인근좌표
307,306,경기파주,2020-04-05,2020-04-05,0.1,126.8077119,37.84944357,인근좌표
308,307,경기양주,2020-04-05,2020-04-05,0.01,127.0141132,37.80569311,인근좌표
